region_stop	cases	new	active	recovered	dead	NL_Name
Алтайский край	1485	79	806	670	9	Алтайский край
Амурская область	401	16	283	113	5	Амурская область
Архангельская область	1315	169	863	448	4	Архангельская область
Астраханская область	1558	57	829	718	11	Астраханская область
Белгородская область	1901	76	1228	658	15	Белгородская область
Брянская область	3156	99	1444	1681	31	Брянская область
Владимирская область	2379	57	1987	375	17	Владимирская область
Волгоградская область	2384	88	1643	725	16	Волгоградская область
Вологодская область	699	34	428	267	4	Вологодская область
Воронежская область	1581	63	410	1157	14	Воронежская область
Еврейская автономная область	272	5	101	168	3	Eврейская АОб
Забайкальский край	879	62	448	417	14	Забайкальский край
Ивановская область	1639	37	1070	551	18	Ивановская область
Иркутская область	1306	112	1036	260	10	Иркутская область
Кабардино-Балкарская Республика	2422	88	1812	602	8	Кабардино-Балкарская Республика
Калининградская область	1294	50	717	556	21	Калининградская область
Калужская область	3459	105	2414	1018	27	Калужская область
Камчатский край	678	20	428	244	6	Камчатский край
Карачаево-Черкесская Республика	814	31	548	262	4	Карачаево-Черкессия Республика
Кемеровская область	431	13	262	162	7	Кемеровская область
Кировская область	1370	47	558	804	8	Кировская область
Костромская область	601	21	285	308	8	Костромская область
Краснодарский край	3426	89	1317	2081	28	Краснодарский край
Красноярский край	3558	148	2775	755	28	Красноярский край
Курганская область	189	6	109	80	0	Курганская область
Курская область	2648	67	1615	1024	9	Курская область
Ленинградская область	2553	58	1427	1115	11	Ленинградская область
Липецкая область	1764	68	1213	546	5	Липецкая область
Магаданская область	227	4	73	151	3	Магаданская область
Москва	169303	2830	105574	61619	2110	г. Москва
Московская область	35163	817	28662	6152	349	Московская область
Мурманская область	2981	45	1318	1656	7	Мурманская область
Ненецкий автономный округ	64	2	54	10	0	Ненецкий АОк
Нижегородская область	8504	228	5780	2652	72	Нижегородская область
Новгородская область	1003	89	698	300	5	Новгородская область
Новосибирская область	2300	87	1378	892	30	Новосибирская область
Омская область	1097	53	814	265	18	Омская область
Оренбургская область	1664	54	631	1027	6	Оренбургская область
Орловская область	1942	75	973	953	16	Орловская область
Пензенская область	1892	89	512	1365	15	Пензенская область
Пермский край	1451	41	609	826	16	Пермский край
Приморский край	1735	40	1012	706	17	Приморский край
Псковская область	608	16	360	238	10	Псковская область
Республика Адыгея	721	25	412	300	9	Республика Адыгея
Республика Алтай	104	2	52	52	0	Республика Алтай
Республика Башкортостан	2851	79	1949	884	18	Республика Башкортостан
Республика Бурятия	1254	45	649	598	7	Республика Бурятия
Республика Дагестан	4294	89	367	3809	118	Республика Дагестан
Республика Ингушетия	1866	43	1040	784	42	Республика Ингушетия
Республика Калмыкия	903	0	508	383	12	Республика Калмыкия
Республика Карелия	331	15	195	135	1	Республика Карелия
Республика Коми	1144	9	532	592	20	Республика Коми
Республика Крым	346	6	179	164	3	Республика Крым
Республика Марий Эл	1559	41	394	1155	10	Республика Марий Эл
Республика Мордовия	1684	38	1119	553	12	Республика Мордовия
Республика Саха (Якутия)	1445	88	805	633	7	Республика Саха
Республика Северная Осетия — Алания	2702	57	1100	1570	32	Республика Северная Осетия-Алания
Республика Татарстан	2912	63	811	2092	9	Республика Татарстан
Республика Тыва	760	54	702	57	1	Республика Тыва
Республика Хакасия	836	23	361	465	10	Республика Хакасия
Республика Чувашия	2472	85	1696	765	11	Чувашская Республика
Ростовская область	3930	203	2542	1354	34	Ростовская область
Рязанская область	3125	85	2416	702	7	Рязанская область
Самарская область	2205	87	1519	669	17	Самарская область
Санкт-Петербург	14076	363	10182	3744	150	г. Санкт-Петербург
Саратовская область	2581	65	1744	812	25	Саратовская область
Сахалинская область	74	5	27	47	0	Сахалинская область
Свердловская область	4190	207	2671	1499	20	Свердловская область
Севастополь	158	1	36	119	3	г. Севастополь
Смоленская область	1769	84	1167	581	21	Смоленская область
Ставропольский край	2086	75	1233	812	41	Ставропольский край
Тамбовская область	2622	75	1730	886	6	Тамбовская область
Тверская область	1378	15	462	899	17	Тверская область
Томская область	564	28	351	203	10	Томская область
Тульская область	3318	105	1989	1309	20	Тульская область
Тюменская область	1490	42	834	649	7	Тюменская область
Удмуртская Республика	549	20	183	354	12	Удмуртская Республика
Ульяновская область	2051	92	1493	551	7	Ульяновская область
Хабаровский край	1760	62	991	759	10	Хабаровский край
Ханты-Мансийский АО	1849	94	1197	635	17	Ханты-Мансийский АОк
Челябинская область	2216	36	1279	924	13	Челябинская область
Чеченская Республика	1133	21	430	690	13	Чеченская республика
Чукотский автономный округ	61	0	24	36	1	Чукотский АОк
Ямало-Ненецкий автономный округ	2151	59	1387	758	6	Ямало-Ненецкий АОк
Ярославская область	2726	94	2144	569	13	Ярославская область
