"LineageID"	"Order"	"Seq_id"	"label"
"Lineage1"	3	"Russia/StPetersburg-RII4649S/2020|Apr-05"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII4144S/2020|Mar-20"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII7553S/2020|Apr-21"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII7557S/2020|Apr-21"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII8380S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII8372S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII8373S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage1"	3	"Russia/StPetersburg-RII8371S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage2"	8	"Russia/Moscow-64601/2020|Mar-13"	"г. Москва"
"Lineage2"	8	"Russia/Sverdlovsk-71905/2020|Mar-19"	"Свердловская область"
"Lineage3"	5	"Russia/Moscow-77620/2020|Mar-22"	"г. Москва"
"Lineage3"	5	"Russia/Yakutia-73709/2020|Mar-20"	"Республика Саха"
"Lineage3"	5	"Russia/Moscow-77610/2020|Mar-22"	"г. Москва"
"Lineage3"	5	"Russia/Yakutia-83301/2020|Mar-25"	"Республика Саха"
"Lineage4"	4	"Russia/StPetersburg-RII4307V/2020|Mar-24"	"г. Санкт-Петербург"
"Lineage4"	4	"Russia/StPetersburg-RII4308V/2020|Mar-24"	"г. Санкт-Петербург"
"Lineage5"	7	"Russia/Moscow-62508/2020|Mar-11"	"г. Москва"
"Lineage5"	7	"Russia/Moscow-62502/2020|Mar-11"	"г. Москва"
"Lineage6"	2	"Russia/StPetersburg-RII6251S/2020|Apr-15"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII6063S/2020|Apr-15"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII5170S/2020|Apr-09"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII5169S/2020|Apr-09"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII5017V/2020|Apr-09"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII7318V/2020|Apr-21"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII7319V/2020|Apr-21"	"г. Санкт-Петербург"
"Lineage6"	2	"Russia/StPetersburg-RII7321V/2020|Apr-21"	"г. Санкт-Петербург"
"Lineage7"	6	"Russia/Yakutia-73703/2020|Mar-20"	"Республика Саха"
"Lineage7"	6	"Russia/Moscow-GCBL3/2020|Apr-14"	"г. Москва"
"Lineage7"	6	"Russia/Moscow-GCBL1/2020|Apr-14"	"г. Москва"
"Lineage7"	6	"Russia/Moscow-GCBL2/2020|Apr-14"	"г. Москва"
"Lineage8"	1	"Russia/StPetersburg-RII4970S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5029S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5644S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII8388S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5643S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII8429S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5642S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4988S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII6846V/2020|Apr-15"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4706S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5633S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4724S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4726S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4781S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4723S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5634S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4728S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4972S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4980S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5654S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4983S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5635S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4686S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4711S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4585S/2020|Apr-03"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4696S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4707S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4584S/2020|Apr-03"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4591S/2020|Apr-03"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4713S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4985S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4969S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4705S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4984S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII6840S/2020|Apr-15"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4697S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4693S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4712V/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4780S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4694S/2020|Apr-07"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5047S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII6039S/2020|Apr-14"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII5033S/2020|Apr-10"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII8428S/2020|Apr-22"	"г. Санкт-Петербург"
"Lineage8"	1	"Russia/StPetersburg-RII4938S/2020|Apr-08"	"г. Санкт-Петербург"
"Lineage9"	9	"Russia/Krasnodar-80902/2020|Mar-23"	"Краснодарский край"
"Lineage9"	9	"Russia/Orenburg-80305/2020|Mar-23"	"Оренбургская область"
